,Synsets,domain,vote,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,ngrams_last_mean,CHILDES_Sum_Rel,BNC_Sum
0,Synset('adjustable_wrench.n.01'),tool,nb,7,1,0,10,36,17,2,1,0.0,1.0129032258064516,0.5631725787166202,-18.85440188,1.7555588013887174e-17,1e-10
1,Synset('allen_wrench.n.01'),tool,nb,0,1,0,10,25,12,1,1,0.0,1.0129032258064516,0.3910920685532084,-18.3891264,1.7555588013887174e-17,1e-10
2,Synset('alligator_wrench.n.01'),tool,nb,0,1,0,10,97,16,1,1,0.0,1.0129032258064516,1.5174372259864488,-22.35469017,1.7555588013887174e-17,1e-10
3,Synset('awl.n.01'),tool,b,2,1,2,9,63,3,1,1,15.7,0.9116129032258066,0.9855520127540852,-14.80999674,1.7555588013887174e-17,42.0
4,Synset('backsaw.n.01'),tool,nb,0,1,0,11,71,7,2,1,0.0,1.1141935483870968,1.110701474691112,-18.3274757,1.7555588013887174e-17,1e-10
5,Synset('ball-peen_hammer.n.01'),tool,nb,0,1,0,10,63,16,1,1,0.0,1.0129032258064516,0.9855520127540852,-18.48889427,1.7555588013887174e-17,1e-10
6,Synset('beading_plane.n.01'),tool,nb,0,1,0,10,62,13,1,1,0.0,1.0129032258064516,0.969908330011957,-23.74098453,1.7555588013887174e-17,1e-10
7,Synset('bevel.n.02'),tool,b,0,1,0,9,106,5,2,3,0.0,0.9116129032258066,1.658230370665604,-14.97634131,1.7555588013887174e-17,33.0
8,Synset('bill.n.08'),tool,nb,0,1,0,10,38,4,2,13,0.0,1.0129032258064516,0.5944599442008769,-10.98524804,1.0006685167915689e-05,5232.0
9,Synset('block_plane.n.01'),tool,nb,0,1,0,10,40,11,1,1,0.0,1.0129032258064516,0.6257473096851335,-18.27715276,1.7555588013887174e-17,1e-10
10,Synset('blunt_file.n.01'),tool,nb,0,1,0,10,26,10,1,1,0.0,1.0129032258064516,0.4067357512953368,-23.04783735,1.7555588013887174e-17,1e-10
11,Synset('bodkin.n.04'),tool,nb,0,1,0,9,49,6,2,4,0.0,0.9116129032258066,0.7665404543642885,-16.58006996,1.7555588013887174e-17,14.0
12,Synset('box_wrench.n.01'),tool,nb,0,1,1,10,72,10,2,1,7.85,1.0129032258064516,1.1263451574332404,-20.66606788,1.7555588013887174e-17,1e-10
13,Synset('brace_wrench.n.01'),tool,nb,0,1,0,10,81,12,1,1,0.0,1.0129032258064516,1.2671383021123954,-23.02585093,1.7555588013887174e-17,1e-10
14,Synset('bradawl.n.01'),tool,nb,0,1,0,10,55,7,2,2,0.0,1.0129032258064516,0.8604025508170586,-17.52110424,1.7555588013887174e-17,12.0
15,Synset('brick_trowel.n.01'),tool,nb,0,1,0,10,24,12,2,1,0.0,1.0129032258064516,0.3754483858110801,-19.41875535,1.7555588013887174e-17,1e-10
16,Synset('bricklayer's_hammer.n.01'),tool,nb,0,1,0,10,30,19,1,1,0.0,1.0129032258064516,0.4693104822638501,-22.99965765,1.7555588013887174e-17,1e-10
17,Synset('bucksaw.n.01'),tool,nb,0,1,0,10,109,7,1,1,0.0,1.0129032258064516,1.7051614188919888,-18.90531306,1.7555588013887174e-17,1e-10
18,Synset('bulldog_wrench.n.01'),tool,nb,0,1,0,10,53,14,1,1,0.0,1.0129032258064516,0.8291151853328019,-23.02585093,1.7555588013887174e-17,1e-10
19,Synset('bullnose.n.01'),tool,nb,0,1,0,10,62,8,2,1,0.0,1.0129032258064516,0.969908330011957,-18.89701426,1.7555588013887174e-17,2.0
